
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 104r 4.9586805e+06 5.25e-01 1.60e+02   0.2 7.01e-02   3.4 1.00e+00 1.00e+00f  1
 105r 4.9600947e+06 5.25e-01 1.67e+02   0.2 1.17e+00   2.9 7.49e-02 6.35e-02f  1
 106r 4.9666983e+06 5.24e-01 2.37e+02   0.2 8.02e-02   3.3 1.00e+00 7.70e-01f  1
 107r 4.9699188e+06 5.23e-01 1.54e+02   0.2 2.83e-02   3.7 1.00e+00 1.00e+00f  1
 108r 4.9783205e+06 5.22e-01 1.42e+02   0.2 9.17e-02   3.3 9.47e-01 8.79e-01f  1
 109r 4.9816637e+06 5.21e-01 1.86e+02   0.2 4.04e-02   3.7 1.00e+00 9.31e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 4.9909474e+06 5.20e-01 1.45e+02   0.2 1.21e-01   3.2 6.08e-01 8.73e-01f  1
 111r 4.9946540e+06 5.20e-01 2.17e+02   0.2 5.45e-02   3.6 1.00e+00 9.25e-01f  1
 112r 5.0017765e+06 5.19e-01 1.76e+02   0.2 1.66e-01   3.2 5.11e-01 6.04e-01f  1
 113r 5.0054630e+06 5.18e-01 2.16e+02   0.2 6.12e-02   3.6 9.83e-01 8.27e-01f  1
 114r 5.0084559e+06 5.18e-01 1.93e+02   0.2 2.93e-01   3.1 2.58e-01 2.30e-01f  1
 115r 5.0128335e+06 5.18e-01 1.75e+02   0.2 6.19e-02   3.5 1.00e+00 8.80e-01f  1
 116r 5.0147129e+06 5.18e-01 2.03e+02   0.2 2.23e-02   4.0 1.00e+00 1.00e+00f  1
 117r 5.0202651e+06 5.17e-01 3.15e+02   0.2 8.38e-02   3.5 8.23e-01 1.00e+00f  1
 118r 5.0224088e+06 5.17e-01 2.64e+02   0.2 3.28e-02   3.9 9.86e-01 1.00e+00f  1
 119r 5.0254618e+06 5.17e-01 3.98e+02   0.2 9.01e-02   3.4 7.76e-01 4.84e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 5.0278333e+06 5.17e-01 5.14e+02   0.2 7.68e-01   3.0 6.08e-02 1.27e-01f  1
 121r 5.0293468e+06 5.17e-01 3.77e+02   0.2 1.87e-01   3.4 2.69e-01 2.12e-01f  1
 122r 5.0294200e+06 5.17e-01 6.84e+02   0.2 9.51e+00   2.9 9.63e-03 3.31e-03f  1
 123r 5.0330623e+06 5.18e-01 3.53e+02   0.2 1.46e-01   3.3 4.43e-01 4.54e-01f  1
 124r 5.0353009e+06 5.21e-01 3.03e+02   0.2 4.58e-01   2.9 1.29e-01 9.44e-02f  1
 125r 5.0374410e+06 5.27e-01 5.23e+02   0.2 1.68e+00   2.4 8.48e-02 3.11e-02f  1
 126r 5.0384720e+06 5.37e-01 4.74e+02   0.2 1.25e+01   1.9 3.45e-03 5.42e-03f  1
 127r 5.0408192e+06 5.36e-01 5.37e+02   0.2 4.77e+01   1.4 1.18e-02 7.84e-03f  1
 128r 5.0537131e+06 5.31e-01 5.55e+02   0.2 1.66e+00   1.8 2.18e-01 6.28e-02f  1
 129r 5.0753831e+06 5.25e-01 4.29e+02   0.2 4.53e-01   2.3 3.50e-01 2.53e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 5.1911329e+06 5.05e-01 2.53e+02   0.2 1.74e+00   1.8 3.93e-01 5.24e-01f  1
 131r 5.2748201e+06 4.96e-01 3.66e+02   0.2 7.25e-01   2.2 6.02e-01 1.00e+00f  1
 132r 5.2952243e+06 5.05e-01 1.63e+02   0.2 3.43e-01   2.6 8.17e-01 6.79e-01f  1
 133r 5.2965454e+06 5.09e-01 4.62e+02   0.2 5.68e+00   2.2 6.57e-02 1.98e-02f  1
 134r 5.3050677e+06 5.05e-01 3.29e+02   0.2 4.28e-01   2.6 2.15e-01 2.57e-01f  1
 135r 5.3202837e+06 4.99e-01 5.78e+02   0.2 4.40e-01   2.1 5.41e-01 1.60e-01f  1
 136r 5.5254409e+06 5.53e-01 1.89e+02   0.2 8.37e-01   1.6 6.77e-01 8.62e-01f  1
 137r 5.6514718e+06 5.29e-01 2.77e+02   0.2 3.41e+00   1.2 2.89e-01 3.60e-01f  1
 138r 5.7089345e+06 5.35e-01 7.70e+02   0.2 1.24e+00   1.6 8.51e-01 3.74e-01f  1
 139r 5.7170079e+06 5.22e-01 7.29e+02   0.2 6.96e+00   1.1 1.20e-01 4.48e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 5.7657150e+06 5.14e-01 4.01e+02   0.2 8.85e-01   1.5 6.40e-01 3.07e-01f  1
 141r 5.7765145e+06 4.89e-01 5.31e+02   0.2 7.98e+00   1.1 1.17e-01 5.83e-02f  1
 142r 5.8191350e+06 4.72e-01 6.65e+02   0.2 9.16e-01   1.5 5.60e-01 2.73e-01f  1
 143r 5.8696489e+06 4.61e-01 2.67e+02   0.2 3.26e-01   1.9 1.00e+00 7.53e-01f  1
 144r 5.9022531e+06 4.29e-01 1.31e+03   0.2 2.45e+00   1.4 6.10e-01 2.38e-01f  1
 145r 5.9183427e+06 4.19e-01 1.79e+03   0.2 9.83e-01   1.9 1.00e+00 2.59e-01f  1
 146r 5.9309029e+06 4.13e-01 7.06e+02   0.2 2.88e-01   2.3 6.91e-01 5.07e-01f  1
 147r 5.9377622e+06 4.07e-01 2.74e+03   0.2 3.42e+00   1.8 3.99e-01 1.06e-01f  1
 148r 5.9624629e+06 3.65e-01 1.94e+03   0.2 3.33e+00   1.3 2.23e-01 1.88e-01f  1
 149r 5.9880275e+06 3.40e-01 3.58e+02   0.2 7.24e-01   1.8 5.43e-01 3.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 6.0047841e+06 3.32e-01 6.37e+02   0.2 4.67e+00   1.3 2.07e-01 1.10e-01f  1
 151r 6.0294303e+06 3.29e-01 4.66e+02   0.2 8.31e-01   1.7 5.10e-01 3.24e-01f  1
 152r 6.0417013e+06 3.27e-01 7.10e+02   0.2 6.63e+00   1.2 1.40e-01 7.60e-02f  1
 153r 6.0653381e+06 3.24e-01 5.43e+02   0.2 9.95e-01   1.7 4.84e-01 2.95e-01f  1
 154r 6.0713122e+06 3.23e-01 7.57e+02   0.2 1.36e+01   1.2 6.59e-02 3.82e-02f  1
 155r 6.0931840e+06 3.20e-01 5.59e+02   0.2 1.21e+00   1.6 3.80e-01 2.64e-01f  1
 156r 6.0936115e+06 3.20e-01 9.41e+02   0.2 1.19e+02   1.1 9.71e-03 4.61e-03f  1
 157r 6.1127667e+06 3.16e-01 7.17e+02   0.2 1.57e+00   1.6 3.09e-01 2.23e-01f  1
 158r 6.1283564e+06 3.13e-01 3.60e+02   0.2 4.22e-01   2.0 6.65e-01 4.31e-01f  1
 159r 6.1494775e+06 3.15e-01 5.88e+02   0.2 1.82e+00   1.5 4.87e-01 2.47e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 6.1684040e+06 3.28e-01 5.88e+02   0.2 5.13e-01   1.9 7.75e-01 5.21e-01f  1
 161r 6.1828001e+06 3.38e-01 6.90e+02   0.2 2.94e+00   1.5 3.55e-01 1.75e-01f  1
 162r 6.1974893e+06 3.48e-01 8.02e+02   0.2 6.25e-01   1.9 7.11e-01 4.09e-01f  1
 163r 6.2022481e+06 3.54e-01 8.61e+02   0.2 6.86e+00   1.4 1.36e-01 6.14e-02f  1
 164r 6.2134349e+06 3.62e-01 5.71e+02   0.2 8.23e-01   1.8 4.22e-01 3.05e-01f  1
 165r 6.2211790e+06 3.68e-01 4.15e+02   0.2 2.67e-01   2.3 7.59e-01 5.30e-01f  1
 166r 6.2281447e+06 3.74e-01 6.39e+02   0.2 1.47e+00   1.8 4.01e-01 1.89e-01f  1
 167r 6.2352064e+06 3.79e-01 8.47e+02   0.2 3.80e-01   2.2 9.67e-01 4.64e-01f  1
 168r 6.2438289e+06 3.85e-01 6.87e+02   0.2 6.94e-01   1.7 4.39e-01 2.25e-01f  1
 169r 6.2546070e+06 3.88e-01 5.81e+02   0.2 4.79e+00   1.2 9.55e-02 1.32e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 6.2652911e+06 3.94e-01 8.14e+02   0.2 9.47e-01   1.7 6.58e-01 2.75e-01f  1
 171r 6.2813290e+06 4.03e-01 4.33e+01   0.2 3.32e-01   2.1 1.00e+00 1.00e+00f  1
 172r 6.2662875e+06 4.12e-01 3.93e+02  -0.5 6.62e-01   1.6 4.60e-01 2.35e-01f  1
 173r 6.2598868e+06 4.29e-01 5.28e+02  -0.5 2.30e-01   2.0 1.00e+00 6.22e-01f  1
 174r 6.2506086e+06 4.57e-01 3.57e+02  -0.5 1.95e+00   1.6 2.88e-01 3.54e-01f  1
 175r 6.2498278e+06 4.60e-01 2.06e+03  -0.5 7.45e-01   2.0 4.69e-01 7.46e-02f  1
 176r 6.2436434e+06 4.70e-01 8.51e+02  -0.5 6.37e-01   1.5 7.63e-01 2.34e-01f  1
 177r 6.2379116e+06 4.69e-01 7.15e+02  -0.5 2.10e-01   1.9 1.00e+00 5.40e-01f  1
 178r 6.2236912e+06 4.12e-01 3.22e+02  -0.5 1.04e+00   1.5 5.87e-01 5.35e-01f  1
 179r 6.2188967e+06 3.91e-01 5.29e+02  -0.5 5.88e-01   1.9 1.00e+00 4.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 6.2158075e+06 3.77e-01 6.62e+01  -0.5 2.48e-01   2.3 1.00e+00 8.14e-01f  1
 181r 6.2149646e+06 3.73e-01 2.16e+03  -0.5 2.74e-01   1.8 4.28e-01 7.93e-02f  1
 182r 6.2009177e+06 2.92e-01 1.08e+03  -0.5 7.58e-01   1.4 5.02e-01 4.95e-01f  1
 183r 6.1988797e+06 1.26e+00 1.04e+03  -0.5 5.63e+01   0.9 1.38e-02 3.44e-02f  1
 184r 6.1986067e+06 1.22e+00 9.64e+02  -0.5 1.60e+00   2.2 2.04e-01 6.38e-02f  1
 185r 6.1976523e+06 1.12e+00 7.00e+02  -0.5 3.25e-01   1.7 1.30e-01 7.94e-02f  1
 186r 6.1899793e+06 8.39e-01 6.48e+02  -0.5 9.77e-01   1.3 3.13e-01 2.49e-01f  1
 187r 6.1841111e+06 7.67e-01 5.92e+02  -0.5 3.91e+00   0.8 8.19e-02 8.61e-02f  1
